id,g1,g2,g3,g4,g5,g6,g7,g8,g9
4986,13,14,0,0,0,0,0,0,0
5039,12,13,15,16,0,0,0,0,0
5056,14,0,0,0,0,0,0,0,0
5065,13,14,0,0,0,0,0,0,0
5079,5,13,14,15,0,0,0,0,0
5082,12,16,31,32,0,0,0,0,0
5099,30,0,0,0,0,0,0,0,0
5105,31,0,0,0,0,0,0,0,0
5114,31,0,0,0,0,0,0,0,0
5132,12,13,0,0,0,0,0,0,0
5136,12,13,15,24,31,34,0,0,0
5199,8,0,0,0,0,0,0,0,0
5223,13,14,0,0,0,0,0,0,0
5233,13,14,15,0,0,0,0,0,0
5258,14,0,0,0,0,0,0,0,0
5349,8,0,0,0,0,0,0,0,0
5369,12,14,15,0,0,0,0,0,0
5401,12,0,0,0,0,0,0,0,0
5413,10,0,0,0,0,0,0,0,0
5418,8,12,31,0,0,0,0,0,0
5422,5,0,0,0,0,0,0,0,0
5423,11,15,0,0,0,0,0,0,0
5440,4,7,8,31,0,0,0,0,0
5450,5,13,33,0,0,0,0,0,0
5502,13,15,0,0,0,0,0,0,0
5503,25,31,0,0,0,0,0,0,0
5504,13,15,0,0,0,0,0,0,0
5508,12,15,24,32,0,0,0,0,0
5514,9,31,0,0,0,0,0,0,0
5550,12,15,16,24,31,0,0,0,0
5563,5,13,24,0,0,0,0,0,0
5595,4,8,11,15,0,0,0,0,0
5613,12,15,31,0,0,0,0,0,0
5623,4,12,25,31,0,0,0,0,0
5626,12,25,31,32,0,0,0,0,0
5641,12,0,0,0,0,0,0,0,0
5645,5,33,0,0,0,0,0,0,0
5654,31,0,0,0,0,0,0,0,0
5831,5,31,0,0,0,0,0,0,0
5850,10,31,0,0,0,0,0,0,0
5882,11,15,25,0,0,0,0,0,0
5894,15,16,0,0,0,0,0,0,0
5911,5,13,0,0,0,0,0,0,0
5951,13,14,0,0,0,0,0,0,0
5953,13,14,0,0,0,0,0,0,0
5954,14,0,0,0,0,0,0,0,0
5982,12,0,0,0,0,0,0,0,0
6036,5,31,0,0,0,0,0,0,0
6154,4,10,0,0,0,0,0,0,0
6165,12,31,0,0,0,0,0,0,0
6256,11,13,15,32,0,0,0,0,0
6279,9,31,32,34,0,0,0,0,0
6291,14,0,0,0,0,0,0,0,0
6294,15,0,0,0,0,0,0,0,0
6325,2,31,32,0,0,0,0,0,0
6341,12,13,15,16,32,0,0,0,0
6375,4,0,0,0,0,0,0,0,0
6405,5,8,33,0,0,0,0,0,0
6440,12,31,0,0,0,0,0,0,0
6453,9,31,0,0,0,0,0,0,0
6454,9,31,0,0,0,0,0,0,0
6456,9,31,0,0,0,0,0,0,0
6459,9,31,0,0,0,0,0,0,0
6462,9,31,0,0,0,0,0,0,0
6504,10,14,0,0,0,0,0,0,0
6516,12,31,0,0,0,0,0,0,0
6517,4,33,0,0,0,0,0,0,0
6555,9,15,33,0,0,0,0,0,0
6614,2,9,15,31,34,0,0,0,0
6616,12,15,31,0,0,0,0,0,0
6701,2,9,31,32,0,0,0,0,0
6707,31,0,0,0,0,0,0,0,0
6739,5,8,31,32,0,0,0,0,0
6741,2,5,8,9,31,32,0,0,0
6763,14,33,0,0,0,0,0,0,0
6838,31,0,0,0,0,0,0,0,0
6855,5,33,0,0,0,0,0,0,0
6865,9,0,0,0,0,0,0,0,0
6887,12,0,0,0,0,0,0,0,0
6892,13,0,0,0,0,0,0,0,0
6906,12,31,0,0,0,0,0,0,0
6933,4,5,8,9,31,33,0,0,0
6962,13,0,0,0,0,0,0,0,0
6967,13,14,32,0,0,0,0,0,0
6978,4,12,15,25,0,0,0,0,0
6982,12,25,0,0,0,0,0,0,0
7016,5,13,15,0,0,0,0,0,0
7039,25,31,0,0,0,0,0,0,0
7046,13,15,32,0,0,0,0,0,0
7111,13,14,0,0,0,0,0,0,0
7130,4,33,0,0,0,0,0,0,0
7139,10,14,0,0,0,0,0,0,0
7140,10,13,14,0,0,0,0,0,0
7158,4,9,12,15,24,31,0,0,0
7160,10,0,0,0,0,0,0,0,0
7167,4,14,0,0,0,0,0,0,0
7178,10,14,0,0,0,0,0,0,0
7179,10,0,0,0,0,0,0,0,0
7180,10,14,0,0,0,0,0,0,0
7189,8,33,0,0,0,0,0,0,0
7194,12,31,34,0,0,0,0,0,0
7275,12,0,0,0,0,0,0,0,0
7278,12,31,0,0,0,0,0,0,0
7331,5,31,0,0,0,0,0,0,0
7334,12,31,0,0,0,0,0,0,0
7342,8,9,31,32,0,0,0,0,0
7344,8,9,31,32,0,0,0,0,0
7346,12,31,0,0,0,0,0,0,0
7348,5,0,0,0,0,0,0,0,0
7351,5,0,0,0,0,0,0,0,0
7356,8,12,25,31,0,0,0,0,0
7386,9,31,32,0,0,0,0,0,0
7397,12,31,32,0,0,0,0,0,0
7406,8,31,32,0,0,0,0,0,0
7444,8,31,32,0,0,0,0,0,0
7464,12,0,0,0,0,0,0,0,0
7470,31,0,0,0,0,0,0,0,0
7477,12,15,16,24,0,0,0,0,0
7489,5,12,14,31,0,0,0,0,0
7510,11,13,15,0,0,0,0,0,0
7512,11,13,15,0,0,0,0,0,0
7543,2,9,15,16,31,32,0,0,0
7585,13,32,0,0,0,0,0,0,0
7592,12,13,15,16,33,0,0,0,0
7593,11,12,13,15,16,33,0,0,0
7594,12,13,15,16,31,33,0,0,0
7595,11,15,32,0,0,0,0,0,0
7603,25,31,32,0,0,0,0,0,0
7634,7,9,15,31,32,0,0,0,0
7635,2,9,31,32,0,0,0,0,0
7650,9,31,0,0,0,0,0,0,0
7739,12,31,0,0,0,0,0,0,0
7789,5,12,31,32,33,0,0,0,0
7824,5,15,0,0,0,0,0,0,0
7841,4,12,31,0,0,0,0,0,0
7881,13,14,0,0,0,0,0,0,0
7900,12,31,0,0,0,0,0,0,0
7936,8,9,31,32,0,0,0,0,0
8002,10,14,0,0,0,0,0,0,0
8072,2,9,31,0,0,0,0,0,0
8100,13,0,0,0,0,0,0,0,0
8145,8,9,32,0,0,0,0,0,0
8167,7,0,0,0,0,0,0,0,0
8195,5,8,0,0,0,0,0,0,0
8197,9,15,33,0,0,0,0,0,0
8199,5,9,33,0,0,0,0,0,0
8211,4,0,0,0,0,0,0,0,0
8214,5,8,31,32,0,0,0,0,0
8240,5,13,15,24,0,0,0,0,0
8247,4,0,0,0,0,0,0,0,0
8254,5,31,0,0,0,0,0,0,0
8257,15,31,0,0,0,0,0,0,0
8288,12,15,24,31,32,0,0,0,0
8292,2,31,0,0,0,0,0,0,0
8293,2,31,0,0,0,0,0,0,0
8307,9,14,15,0,0,0,0,0,0
8362,12,15,16,31,32,0,0,0,0
8389,12,31,0,0,0,0,0,0,0
8467,5,8,9,33,0,0,0,0,0
8471,11,13,15,0,0,0,0,0,0
8477,5,0,0,0,0,0,0,0,0
8492,12,31,32,0,0,0,0,0,0
8584,5,32,0,0,0,0,0,0,0
8593,12,31,0,0,0,0,0,0,0
8711,5,0,0,0,0,0,0,0,0
8734,8,32,0,0,0,0,0,0,0
8735,4,8,25,31,32,0,0,0,0
8749,8,9,32,0,0,0,0,0,0
8750,8,9,32,33,0,0,0,0,0
8763,5,32,33,0,0,0,0,0,0
8773,11,13,15,31,0,0,0,0,0
8864,12,15,16,31,32,0,0,0,0
8912,13,15,0,0,0,0,0,0,0
8947,9,12,15,31,0,0,0,0,0
8968,31,32,0,0,0,0,0,0,0
8969,12,15,31,0,0,0,0,0,0
8973,13,14,15,0,0,0,0,0,0
8974,14,15,0,0,0,0,0,0,0
8975,13,14,15,0,0,0,0,0,0
8986,12,15,0,0,0,0,0,0,0
9014,9,31,32,0,0,0,0,0,0
9035,2,9,31,32,0,0,0,0,0
9037,2,31,32,0,0,0,0,0,0
9046,12,13,15,16,31,32,0,0,0
9058,11,15,32,0,0,0,0,0,0
9059,11,15,24,0,0,0,0,0,0
9061,5,8,31,32,33,0,0,0,0
9067,11,15,0,0,0,0,0,0,0
9103,8,9,10,13,14,32,33,0,0
9112,2,9,31,0,0,0,0,0,0
9142,4,0,0,0,0,0,0,0,0
9143,4,33,0,0,0,0,0,0,0
9146,4,33,0,0,0,0,0,0,0
9191,12,15,16,31,32,0,0,0,0
9232,13,15,31,0,0,0,0,0,0
9262,9,15,0,0,0,0,0,0,0
9495,5,15,32,0,0,0,0,0,0
9532,5,15,24,0,0,0,0,0,0
9538,11,15,32,0,0,0,0,0,0
9542,11,0,0,0,0,0,0,0,0
9577,12,13,16,34,0,0,0,0,0
9587,5,0,0,0,0,0,0,0,0
9600,12,13,34,0,0,0,0,0,0
9601,8,9,0,0,0,0,0,0,0
9607,31,34,0,0,0,0,0,0,0
9609,10,31,32,33,0,0,0,0,0
9611,8,12,31,32,0,0,0,0,0
9620,12,15,0,0,0,0,0,0,0
9627,13,15,16,32,0,0,0,0,0
9632,12,13,15,31,32,0,0,0,0
9633,12,31,0,0,0,0,0,0,0
9643,9,31,32,0,0,0,0,0,0
9694,5,7,31,34,0,0,0,0,0
9700,31,34,0,0,0,0,0,0,0
9740,5,12,31,0,0,0,0,0,0
9759,11,15,31,0,0,0,0,0,0
9789,11,13,15,32,0,0,0,0,0
9808,8,12,15,31,32,0,0,0,0
9809,9,11,13,15,32,0,0,0,0
9833,11,12,13,15,0,0,0,0,0
9834,11,12,15,0,0,0,0,0,0
9840,15,32,0,0,0,0,0,0,0
9894,10,33,0,0,0,0,0,0,0
9898,11,12,15,16,0,0,0,0,0
9927,12,16,31,0,0,0,0,0,0
10039,4,5,8,32,0,0,0,0,0
10107,11,15,0,0,0,0,0,0,0
10121,14,0,0,0,0,0,0,0,0
10166,5,8,31,0,0,0,0,0,0
10175,31,32,0,0,0,0,0,0,0
10192,5,0,0,0,0,0,0,0,0
10222,25,0,0,0,0,0,0,0,0
10235,8,0,0,0,0,0,0,0,0
10496,12,31,0,0,0,0,0,0,0
10578,9,31,0,0,0,0,0,0,0
10583,2,9,31,0,0,0,0,0,0
10760,8,12,31,0,0,0,0,0,0
10951,9,31,0,0,0,0,0,0,0
10962,5,8,31,0,0,0,0,0,0
11002,5,0,0,0,0,0,0,0,0
11051,5,33,0,0,0,0,0,0,0
11104,11,15,0,0,0,0,0,0,0
11118,5,12,31,0,0,0,0,0,0
11133,12,31,0,0,0,0,0,0,0
11156,5,12,31,0,0,0,0,0,0
11169,12,31,0,0,0,0,0,0,0
11208,12,25,0,0,0,0,0,0,0
11210,12,31,0,0,0,0,0,0,0
11212,12,31,0,0,0,0,0,0,0
11219,8,0,0,0,0,0,0,0,0
11222,4,14,33,0,0,0,0,0,0
11226,13,14,0,0,0,0,0,0,0
11227,5,8,12,0,0,0,0,0,0
11230,13,0,0,0,0,0,0,0,0
11244,5,7,0,0,0,0,0,0,0
11247,5,8,32,33,0,0,0,0,0
11250,8,9,32,0,0,0,0,0,0
11259,11,15,0,0,0,0,0,0,0
11270,2,31,32,0,0,0,0,0,0
11328,5,8,31,0,0,0,0,0,0
11374,5,8,0,0,0,0,0,0,0
11394,31,34,0,0,0,0,0,0,0
11397,12,13,25,31,0,0,0,0,0
11416,12,0,0,0,0,0,0,0,0
11417,8,9,31,32,0,0,0,0,0
11437,12,13,34,0,0,0,0,0,0
11459,12,15,16,0,0,0,0,0,0
11565,4,33,0,0,0,0,0,0,0
11575,5,24,0,0,0,0,0,0,0
11594,12,15,24,0,0,0,0,0,0
11610,12,15,24,0,0,0,0,0,0
11612,4,33,0,0,0,0,0,0,0
11621,2,31,32,0,0,0,0,0,0
11631,2,9,12,31,32,0,0,0,0
11650,14,0,0,0,0,0,0,0,0
11654,9,31,0,0,0,0,0,0,0
11658,12,0,0,0,0,0,0,0,0
11737,9,31,32,0,0,0,0,0,0
11772,12,15,16,24,31,32,0,0,0
11783,8,31,0,0,0,0,0,0,0
