id,name,Release Year,Score Rating
3735,Red Dead Redemption: Undead Nightmare,2010.0,87.98
3783,Aggressive Inline,2002.0,89.53
3794,Barnyard,2006.0,76.43
3795,Baten Kaitos: Eternal Wings and the Lost Ocean,2003.0,83.87
3798,Dungeon Master,1987.0,90.07
3814,Battlefield 2: Armored Fury,2006.0,80.44
3915,Fight Night Round 2,2005.0,90.89
3932,Gladius,2003.0,89.68
3953,Ikaruga,2001.0,89.07
4034,NBA Live 06,2005.0,87.34
4035,NBA Street,2001.0,87.81
4036,NBA Street Vol. 2,2003.0,87.62
4041,NFL Street,2004.0,84.89
4042,NFL Street 2,2004.0,81.56
4043,NHL 2005,2004.0,81.56
4126,Intelligent Qube,1997.0,74.24
4152,Skies of Arcadia Legends,2002.0,85.15
4157,Sonic Mega Collection,2002.0,79.46
4174,SSX 3,2003.0,89.57
4316,The Lost Files of Sherlock Holmes: The Case of the Serrated Scalpel,1992.0,89.97
4345,FIFA International Soccer,1993.0,85.81
4348,Another World,1991.0,87.23
4438,Sonic the Hedgehog 2,1992.0,88.73
4641,The Age of Decadence,2015.0,70.94
4678,Arc Rise Fantasia,2009.0,76.71
4691,Lumines Live!,2006.0,84.9
4706,Bass Pro Shops: The Strike,2009.0,90.0
4716,The Bigs 2,2009.0,74.01
4719,Bit.Trip Complete,2011.0,86.0
4754,Alien: Isolation,2014.0,85.84
4816,Dokapon Kingdom,2007.0,75.34
4820,Drawn to Life: The Next Chapter,2009.0,84.19
4833,Endless Ocean: Blue World,2009.0,80.08
4841,ModNation Racers,2010.0,83.54
4884,Geometry Wars: Galaxies,2007.0,86.51
4887,Geometry Wars: Retro Evolved 2,2008.0,88.11
4959,Klonoa: Door to Phantomile,1997.0,82.96
4985,Madden NFL 10,2009.0,81.81
4986,Madden NFL 11,2010.0,85.51
5039,King's Bounty: The Legend,2008.0,87.81
5056,NBA 2K11,2010.0,90.79
5065,NCAA Football 09,2008.0,85.51
5079,NPPL Championship Paintball 2009,2008.0,57.5
5082,Divinity: Original Sin,2014.0,86.21
5099,Pinball Hall of Fame: The Williams Collection,2008.0,83.76
5105,Fatal Frame II: Crimson Butterfly,2003.0,86.86
5114,Rango,2011.0,72.5
5132,Rune Factory Frontier,2008.0,86.51
